Date,IP
2020-03-23T17:17:36.812002,(42.0334,-88.0825)
2020-03-23T17:17:46.903744,(42.0334,-88.0825)
2020-04-17T22:43:30.269860,(42.0334,-88.0825)
2020-04-25T16:34:11.462895,(42.0334,-88.0825)
2021-06-02T22:12:04.017087,(42.0334,-88.0825)
2022-08-22T01:01:30.797064,(41.8757,-87.6206)
2023-01-02T19:38:35.362313,(41.7800,-87.6026)
2023-12-07T01:09:01.973292,(41.7800,-87.6026)
2024-08-01T19:58:53,(41.8757,-87.6206)
2024-08-21T18:59:25.965596,(41.7800,-87.6026)
2024-09-11T14:59:16,(41.771,-88.1530)
2024-09-14T00:32:35,(41.6411,-88.4472)
2024-09-25T16:42:48.506514,(41.771,-88.1530)
